timestamp;url;total_vehiculos;Columna1;
2025-09-16T09:41:47.359302;MERCADOLIBRE;21030;;
2025-10-01T10:24:49;Yapo;47158;;
2025-10-01T10:25:33;YAPO;47158;;
2025-10-01T10:25:57;MACAL;51;;
2025-10-01T10:26:14;AUTOSUSADOS;7741;;
2025-10-01T10:27:09;AUTOPIA;89;;
2025-10-01T10:27:13;BCI;3911;;
2025-10-01T10:27:28;KAVAK;678;;
2025-10-01T10:27:50;CLICAR;2611;;
2025-10-01T10:27:50;DILY;2304;;
2025-10-01T10:28:35;BRAVO;86;;
2025-10-01T10:29:00;AUTO;8898;;
2025-10-01T10:29:22;Venpu;554;;
2025-10-01T10:29:32;MARKETPLACE;461;;
2025-10-01T10:29:35;LINZE;4795;;
2025-10-01T10:30:10;CHILEMOTO;838;;
2025-10-01T10:31:10;UDACH;1548;;
2025-10-01T10:38:56;AUTOSCOSMO;16903;;
2025-10-01T10:39:18.589487;MERCADOLIBRE;21625;;
