timestamp,label_text,name,count,filtros_ML,url
2025-09-10T10:37:44.525254,BMW,Otros,878,,https://autos.mercadolibre.cl/bmw/#applied_filter_id%3DBRAND%26applied_filter_name%3DMarca%26applied_filter_order%3D4%26applied_value_id%3D66352%26applied_value_name%3DBMW%26applied_value_order%3D6%26applied_value_results%3D878%26is_custom%3Dfalse
2025-09-10T10:37:44.525515,Hyundai,Otros,863,,https://autos.mercadolibre.cl/hyundai/#applied_filter_id%3DBRAND%26applied_filter_name%3DMarca%26applied_filter_order%3D4%26applied_value_id%3D1089%26applied_value_name%3DHyundai%26applied_value_order%3D7%26applied_value_results%3D863%26is_custom%3Dfalse
2025-09-10T10:37:44.525754,Volkswagen,Otros,766,,https://autos.mercadolibre.cl/volkswagen/#applied_filter_id%3DBRAND%26applied_filter_name%3DMarca%26applied_filter_order%3D4%26applied_value_id%3D60249%26applied_value_name%3DVolkswagen%26applied_value_order%3D8%26applied_value_results%3D766%26is_custom%3Dfalse
2025-09-10T10:37:44.525994,Toyota,Otros,693,,https://autos.mercadolibre.cl/toyota/#applied_filter_id%3DBRAND%26applied_filter_name%3DMarca%26applied_filter_order%3D4%26applied_value_id%3D60297%26applied_value_name%3DToyota%26applied_value_order%3D9%26applied_value_results%3D693%26is_custom%3Dfalse
2025-09-10T10:37:44.526371,Tracker,Otros,239,,https://autos.mercadolibre.cl/tracker/#applied_filter_id%3DMODEL%26applied_filter_name%3DModelo%26applied_filter_order%3D5%26applied_value_id%3D69370%26applied_value_name%3DTracker%26applied_value_order%3D847%26applied_value_results%3D239%26is_custom%3Dfalse
2025-09-10T10:37:44.526624,3008,Otros,231,,https://autos.mercadolibre.cl/3008/#applied_filter_id%3DMODEL%26applied_filter_name%3DModelo%26applied_filter_order%3D5%26applied_value_id%3D61646%26applied_value_name%3D3008%26applied_value_order%3D34%26applied_value_results%3D231%26is_custom%3Dfalse
2025-09-10T10:37:44.526881,2008,Otros,220,,https://autos.mercadolibre.cl/2008/#applied_filter_id%3DMODEL%26applied_filter_name%3DModelo%26applied_filter_order%3D5%26applied_value_id%3D65895%26applied_value_name%3D2008%26applied_value_order%3D22%26applied_value_results%3D220%26is_custom%3Dfalse
2025-09-10T10:37:44.527131,Morning,Otros,199,,https://autos.mercadolibre.cl/morning/#applied_filter_id%3DMODEL%26applied_filter_name%3DModelo%26applied_filter_order%3D5%26applied_value_id%3D2318105%26applied_value_name%3DMorning%26applied_value_order%3D595%26applied_value_results%3D199%26is_custom%3Dfalse
2025-09-10T10:37:44.527384,Ranger,Otros,183,,https://autos.mercadolibre.cl/ranger/#applied_filter_id%3DMODEL%26applied_filter_name%3DModelo%26applied_filter_order%3D5%26applied_value_id%3D67429%26applied_value_name%3DRanger%26applied_value_order%3D689%26applied_value_results%3D183%26is_custom%3Dfalse
2025-09-10T10:37:44.527632,Explorer,Otros,179,,https://autos.mercadolibre.cl/explorer/#applied_filter_id%3DMODEL%26applied_filter_name%3DModelo%26applied_filter_order%3D5%26applied_value_id%3D8859%26applied_value_name%3DExplorer%26applied_value_order%3D340%26applied_value_results%3D179%26is_custom%3Dfalse
